company_name,company_phone,company_website,company_type,company_city,company_state,company_streetCode,company_street
Divots Brewery,(402) 844-2985,www.divotsbrewery.com,Taproom,Norfolk,Nebraska,NE,217 N. 43rd Street
Dixie Grill & Brewery,(561) 586-3189,Nil,Brewpub,West Palm Beach,Florida,FL,5101 South Dixie Highway
Dixie Saloon Brewery,(231) 436-5449,www.dixiesaloon.com,Brewpub,Mackinaw City,Michigan,MI,401 E Central Ave
Dixie Terroir Artisanal Brewing,Nil,placeholder,Brewery In Planning,Nil,Nil,Nil,Nil
Dizlon,06 26 54 28 90,www.facebook.com/DizlOn,Nil,DIZY,,,16 Rue Neuve
Dizlon,06 26 54 28 90,www.facebook.com/DizlOn,Nil,DIZY,,,16 Rue Neuve
Do Noord-Hollandse Bierbrouwerij,31 251 319 956,www.dnhbb.nl,Micro,Uitgeest,,,Molenwerf 22E
Doan's Craft Brewing Company,(604) 559-0415,www.doanscraftbrewing.com,Nil,Vancouver,British Columbia,BC,1830 Powell St.
Chuckanut Brewery,(360) 752-3377,www.chuckanutbrewery.com,Micro,Burlington,Washington,WA,11937 Higgins Airport Way
Chuckanut Brewery - P. Nut,Nil,Nil,Taproom,Portland,Oregon,OR,920 SE Caruthers St
Chugger\'s Delight,Nil,Nil,Brewery In Planning,Nil,Nil,Nil,Nil
Chula Vista Brewery,(619) 616-8806,www.chulavistabrewery.com,Taproom,Chula Vista,California,CA,294 Third Ave
Chula Vista Brewery - Eastlake,(619) 616-8806,Nil,Brewpub,Chula Vista,California,CA,871 Showroom Pl
Church End Brewery,+44 1827 713080,Nil,Nil,Nuneaton,,,109 Ridge Lane
Church End Brewery,(167) 548-1567,Nil,Nil,Warwickshire,,,"Church Rd, Shustoke"
Church Key Brewing Co,(705) 653-9950,www.churchkeybrewing.com,Micro,Campbellford,Ontario,ON,1678 County Rd #38
Church Spirits,(250) 891-8045,churchspirits.com,Brewery In Planning,Victoria,British Columbia,BC,1011 Scottswood Lane
Church Street Brewing Company,(630) 709-8851,www.churchstreetbrew.com,Micro,Itasca,Illinois,IL,1480 Industrial Dr Ste C
Churchill Brewing Company,306 974 0759?,Nil,Nil,Saskatoon,Saskatchewan,SK,839 51st Street East
Cia Cervecera de Canarias,Nil,Nil,Nil,Santa Cruz de Tenerife,,,Avda Angel Romero 18
"Cia Cervecera De Nicaragua, S.A.",Nil,Nil,Nil,Managua,,,"km 6.5 Cta. Norte, 600 mts. Al lajo"
Cia Cervecera Del Sur Del Peru,Nil,Nil,Large,Arequipa,,,Varlante De Uchumayo No 1801
Cia Cervecera Del Tropico,287-5-04-80,Nil,Large,Tuxtepec,Oaxaca,OA,Car Tuxtepec-Oaxaca Km 2
Cia Cervercera De Cannarias,22-22-93-40,Nil,Large,De Tenerife,,,Avda. Angel Romero 18
Cia De Bebidas De Bahia,(071) 832-1887,Nil,Large,Camacari,Bahia,BA,Rodovia Ba6 Km 16
Cia De Cervejas Erefrigerantes,Nil,Nil,Large,Maputo,,,Caixa Postal 3555
Cia Nacional De Cerveza,29-9340,Nil,Nil,Callao,,,Avda Saenz Pena 471
Cia Nacional De Cerveza S.A.,511700,Nil,Large,Callao,,,Apdo Postal 256
Cia. Cerveceria Unidas Sa,Nil,Nil,Large,,,,Vitacura 2670
Cia. De Cervezas Nacionales CA,253 553 250 088,Nil,Regional,Casilla Postal 519 Guayaquil,,,Parque Industrial Ecuatoriano
Cia. Itacolomy De Cervejas,(038) 741-1722,Nil,Large,Pirapora,Minas Gerais,MG,Ave Leste No 205
Grado Plato Birrificio,Nil,Nil,Nil,Chieri,,,Viale Fasano 36/bis
Graeflich v. Mengersen`sche Dampfbrauerei Rheder A,(495) 272-5313,Nil,Nil,Brakel,,,Nethetalstrasse 10
Graefliche Brauerei Arco Valley,+49  9952  28-0,www.valleylager.de,Nil,Eichendorf,,,"Hauptstrasse 14, Adldorf"
"Graefliche Brauerei Arco Valley, Brauerei Bad Birn",+49  8563  1326/7,Nil,Nil,Bad Birnbach,,,Graf-Arco-Strasse 1
Graefliches Hofbrauhaus Freising GmbH,(498) 161-6010,Nil,Nil,Freising,,,Mainburger Strasse 26
Graflich zu Stolberg`sche Brauerei Westeim BmbH,01149-2994-889-40,Nil,Regional,Marsberg,,,Kasseler St. 7
Grafton Winery & Brewhaus,(618) 786-3001,www.thegraftonwinery.com,Brewpub,Grafton,Illinois,IL,300 W Main St
Brouwerij Wageningen,31 6 36300440,www.brouwerijwageningen.nl,Micro,Wageningen,,,Nudepark 99D
Brouwerij Walrave NV,Nil,Nil,Nil,Laarne,,,Lepelstraat 36
Brouwerij West,(310) 833-9330,www.brouwerijwest.com,Taproom,San Pedro,California,CA,110 E 22nd St
Brouwerij Willy Contreras,+32 (91) 3842706,Nil,Nil,Gavere,,,Molenstraat 115
Brouwerij Zeeburg,31 20 420 4150,www.brouwerijzeeburg.nl,Contract,Amsterdam,,,Eerste Van Swindenstraat 433
Brouwerij-Mouterij Callewaert Pvba,(325) 161-1087,Nil,Nil,Wingene,,,Lichterveldestraat 45
Brouwerij-Mouterij Walrave (Brouw. Pick-up) N.V.,(329) 369-0134,Nil,Nil,Laarne,,,Lepelstraat 36
Brouwerijen Alken-Maes S.A.,(321) 530-9011,www.maes.be,Nil,,,,Blarenberglaan 3C - B2
Brouwerj Rodenbach NV,32-(0)51-27-27-00,Nil,Nil,Roeselare West-Vlarnderen,,,Spanjestraat 133-141
Brouwery De Koninck,Nil,Nil,Regional,Antwerpen,,,Mechelse Steenweg 291
Brouwery Palm N.V.,32 (0) 52 31 74 11,Nil,Nil,Steenhuffel,,,Steenhuffeldorp 3
Brouwhuis De Kroon,32 16 43 94 72,Nil,Nil,Neerijse,,,Beekstraat 20
Browar Artezan,Nil,Nil,Micro,Blonie,,,Grodziska 15
Browar Jablonowo,090 21 57 10,Nil,Nil,Mrokow/warsaw,,,Al. Krakowska 77
Browar Lomza SPZOO,Nil,www.browarlomza.pl,Nil,Lomza,,,ul. Poznanska 121
Browar Namyslów,(077) 410-1944,www.namyslow.com.pl,Regional,Boleslawa Chrobrego 26,,,"46-100 Namyslów, ul"
Browar Stu Mostow,48 797091092,www.100mostow.pl/en,Micro,WROCLAW,,,ul. Jana Dlugosza 2
Browary Tyskie SA,Nil,Nil,Nil,Tychy,,,UL Mikolowska 5
Browary Wielkopolski,+48 61 878 77 87,Nil,Nil,Poznan,,,11 Szwajcarska St.
Browary Worka,Nil,www.warka.com.pl,Nil,Warka,,,ul. Gosniewska 65
Browerij Van Steenberge,(329) 344-5071,Nil,Nil,Ertvelde,,,Lindenlaan 25
Brown Iron Brewhouse,(586) 697-3300,www.browniron.com,Micro,Washington,Michigan,MI,57695 Van Dyke Avenue
Brown Truck Brewery,(336) 886-1234,www.browntruckbrewery.com,Taproom,High Point,North Carolina,NC,1234 N Main St
Brown's Brewing Co,(518) 365-4846,www.brownsbrewing.com,Brewpub,Troy,New York,NY,417 River St # 425
Brown's Brewing Co,(518) 273-2337,www.brownsbrewing.com,Micro,North Hoosick,New York,NY,50 Factory Hill Rd
Brown's Canyon Brewing Company,(719) 395-3335,www.brownscanyonbrewing.com,Micro,Buena Vista,Colorado,CO,23850 US Hwy 285
Broxton Brewery & Public House,(310) 933-9949,www.broxtonla.com,Brewpub,Los Angeles,California,CA,1099 Westwood Blvd.
Broyarde,Nil,Nil,Nil,Payerne,,,Place De La Concorde 21
Bru 4 U No. 1,+61 3 5221 3500,Nil,Nil,Greelong,Victoria,VIC,5/100 Barwon Terrace
Bru Daddy's Brewing,(484) 374-3012,https://www.hopdaddysbrewingcompany.com,Brewpub,Allentown,Pennsylvania,PA,732 Hamilton St.
Bru Room Beer,Nil,Nil,Brewery In Planning,Nil,Nil,Nil,Nil
Bru'd Beer,31 6 10701828,www.brudbeer.com,Micro,Amsterdam,,,Boy Edgarstraat 27
Brauerei Plank GmbH,+49  9431  50450,Nil,Nil,Schwandorf,,,Wiefelsdorf
Brauerei Poellinger-Rank,+49  8782  209,Nil,Nil,Pfeffenhausen,,,Moosburger Strasse 65
Brauerei Rapp KG,(498) 238-3090,Nil,Nil,Kutzenhausen,,,Augsburger Strasse 14
Brauerei Raschhofer,(077) 232-2050,Nil,Regional,Altheim,,,Braunauer Strasse 12
Brauerei Reh,+49  9505  210,Nil,Nil,Litzendorf,,,"Ellertalstrasse 36, Lohndorf"
Brauerei Reichenbrand GmbH & Co.,+49  371  850214,www.brauerei-bergt.de,Nil,Chemnitz,,,Zwickauer Strasse 478
Brauerei Reichold,+49  9204  271,www.reichold.de,Nil,Aufsess,,,"Hochstahl, Nr. 24"
Brauerei Reindler KG,+49  9823  203,Nil,Nil,Leutershausen,,,"Am Ring 5, Jochsberg"
Brauerei Reininghaus/Puntigam,0316 502 0,Nil,Large,,,,Triester Str. 357-359
Brauerei Rhenania Robert Wirichs GmbH & Co. KG,(492) 151-3330,Nil,Nil,Krefeld,,,Obergath 68-112
Brauerei Richard Wagner,+49  9542  620,Nil,Nil,Memmelsdorf,,,"Pointstrasse 1, Merkendorf"
Brauerei Ried reg. Gen. mbH,+43 (7752) 82017,Nil,Nil,Ried im Innkreis,,,Brauhausgasse 24
Brauerei Roetter,+49  9854  380,Nil,Nil,Gerolfingen,,,Hauptstrasse 48
Brauerei Rothmoos Anton Kirnberger GmbH,+49  8055  304,Nil,Nil,Halfing,,,Rothmoos 2
Brauerei Rudolf Bauer,(499) 435-1505,Nil,Nil,Schwarzenfeld,,,Hauptstrasse 30
Brauerei Rudolf Bruetting,(499) 545-8581,Nil,Nil,Hirschaid,,,Friesen
Brauerei Rudolf Sauer,(499) 971-3658,Nil,Nil,,,,Thierlstein 18
Brauerei S. Riegele Inh. Riegele KG,(498) 213-2090,www.riegele.de,Nil,Augsburg,,,Froelichstrasse 26
Brauerei Sauer,(499) 195-7910,www.abseits.de/sauer.htm,Nil,Roettenbach,,,Hauptstrasse 45
Brauerei Schaeffler Hanspeter Grassl KG,(498) 320-9200,www.schaeffler-braeu.de,Nil,Missen-Wilhams,,,Hauptstrasse 17
Brauerei Schleicher OHG,+49  9533  229,Nil,Nil,Itzgrund,,,"Coburger Strasse 22, Kaltenbrunn"
Brauerei Schleswig,+49  4621  29206,www.asgaard.de,Nil,Schleswig,,,Koenigstrasse 27
Brauerei Schloesser GmbH,(492) 114-4940,www.schloesser.de,Nil,Duesseldorf,,,Muensterstrasse 156
Brauerei Schloss Eggenberg Stoehr & Co. KG,+43 (7614) 6345-0,www.eggenberger.at,Nil,Vorchdorf,,,Eggenberg 1
Brauerei Schloss Starkenberg H. Schatz GmbH & Co.,+43 (5412) 66201,Nil,Nil,Tarrenz,,,
Brauerei Schmetzer,(497) 955-2234,Nil,Nil,Wallhausen,,,"Reubacher Strasse 3, Michelbach an der L"
Brauerei Schmidmayer,+49  9444  972-222,Nil,Nil,Siegenburg,,,Hopfenstrasse 3
Brauerei Schnaitl KG,+43 (7748) 6682-0,www.schnaitl.at,Nil,Eggelsberg,,,Gundertshausen 9
Brauerei Schnitzlbaumer,+49  861  3033,Nil,Nil,Traunstein,,,Muehlenstrasse 8
Brauerei Schrems,02853 275 0,Nil,Regional,Schrems,,,Niederschremserstrasse 1
Brauerei Schrems Dipl.-Ing. Karl Theodor Trojan,+43 (2853) 772750,www.schremser.at,Nil,Schrems Niederoesterreich,,,Niederschremser Strasse 1
Brauerei Schwarzach Walter Seeber,+43 (6415) 4236-0,Nil,Nil,Schwarzach im Pongau,,,Brauhausgasse 28
Brauerei Schwarzbraeu GmbH,+49  8291  88-0,Nil,Nil,Zusmarshausen,,,Marktplatz 6
Brauerei Schwechat,01 77 76 81,Nil,Large,Schwechat,,,Alanovaplatz 5
"Brauerei Schwelm, Haarmann & Kathagen GmbH & Co. K",+49  2336  4908-0,www.schwelmer.com,Nil,Schwelm,,,Neumarkt 1
Brauerei Sebastian Leidmann,(498) 634-8087,Nil,Nil,Unterneukirchen,,,
Brauerei Simon Strasser,05282 23 66,Nil,Regional,Zell Am Ziller,,,Gerlosstrasse 1
Brauerei Sippel,(499) 544-2488,Nil,Nil,Baunach,,,Burgstrasse 20
Brauerei Sopron,Nil,Nil,Regional,Sopron,,,Vandor Su. 1
Brauerei Spezial Christian Merz,(499) 512-4304,www.bierstadt.de/spezial.html,Nil,Bamberg,,,Obere Koenigstrasse 10
Brauerei St. Scheidmantel KG,+49  9561  8588-0,Nil,Nil,Coburg,,,Rosenauer Strasse 98
Brauerei Stefan Krug,+49  9505  484,Nil,Nil,Strullendorf,,,"Alte Dorfstrasse 11, Geisfeld"
Brauerei Stierberg,(498) 082-1851,Nil,Nil,Obertaufkirchen,,,Stierberg 12
Brauerei Stolz GmbH & Co. KG,(497) 562-2461,www.isnet-ev.de,Nil,Isny,,,Rotenbacher Weg 2
Brauerei Strauss Inh. Karl Strauss,(499) 142-8389,Nil,Nil,Treuchtlingen,,,"Bahnhofstrasse 20, Wettelsheim"
Brauerei Stumpf GmbH & Co. KG,+49  9352  8729-0,www.lohrer-bier.de,Nil,Lohr,,,Ludwigstrasse 3
Brauerei Th. Schanz sen.,+49  7351  1501-0,Nil,Nil,Biberach,,,Schulstrasse 9a
Brauerei Thomas Ametsbichler,(498) 638-3204,www.iivs.de/aschau/firmen/aschauer,Nil,Aschau,,,Hauptstrasse 13
Brauerei Thomas Laupheimer,(498) 336-7371,Nil,Nil,Westerheim,,,"Dorfstrasse 15, Guenz"
Brauerei Thun AG,Nil,Nil,Micro,Thun,,,Kyburgstrasse 9
Brauerei u. Gasthof zur Krone F. Tauscher GmbH & C,(497) 542-7452,www.tettnang.com/krone.htm,Nil,Tettnang,,,Baerenplatz 7
Brauerei und Gasthof Adler,(497) 305-7342,Nil,Nil,Erbach,,,"Adlergasse 2, Dellmensin"
Brauerei und Gastwirtschaft Guenther Dremel,+49  9504  271,Nil,Nil,Wattendorf,,,Hauptstrasse 21
Brauerei und Maelzerei Hiernickel-Braeu KG,(499) 521-6820,Nil,Nil,Hassfurt,,,Hauptstrasse 75
Brauerei Unertl KG,+49  8631  3768-0,www.unertl.com,Nil,,,,Am Stadtwall 12
Brauerei Uster (Braukultur),Nil,Nil,Nil,Uster,,,Braueresistrasse 16
"Brauerei Ustersbach Adolf Schmid KG, Brauerei und",(498) 236-5890,www.ustersbacherbier.de,Nil,Ustersbach,,,Hauptstrasse 40
Brauerei Vinzenz Schauer,+49  9974  372,Nil,Nil,Traitsching,,,Schlossplatz 1
Brauerei Wagner,+49  9503  229,Nil,Nil,Oberhaid,,,Bamberger Strasse 2
Brauerei Waldhaus Joh. Schmid GmbH,+49  7755  9222-0,www.brauerei-waldhaus.de,Nil,Weilheim,,,Waldhaus 1
Brauerei Weideneder,+49  8572  9601-0,Nil,Nil,Tann,,,Marktplatz 43
Brauerei Weitra Poepperl KG,(432) 856-2387,www.brauereiweitra.co.at,Nil,Weitra,,,Sparkasseplatz 160
Brauerei Westheim GmbH,(492) 994-8890,www.brauerei-westheim.de,Regional,Marsberg-Westheim,,,Kasseler Strasse 7
Brauerei Wieselburg,07416 5010,Nil,Large,Wieselburg,,,Josef-Riedmueller Str 2
Brauerei Wilhelm Bischoff,+49  2232  27366,Nil,Nil,Bruehl,,,Weilerhof
Brauerei Wilhelm Ketterer,+49  7231  9211-0,www.brauerei-ketterer.de,Micro,Pforzheim,,,Jahnstrasse 10-22
Brauerei Wilhelm Krieger KG,+49  9951  9811-0,Nil,Nil,Landau,,,Hauptstrasse 102
Brauerei Windsheimer,(499) 163-2293,Nil,Nil,Gutenstetten,,,Hauptstrasse 13
Brauerei Wingershof Anton Falk Inh. Charlotte Zobe,+49  9621  81534,Nil,Nil,Amberg,,,Wingershofer Strasse 30
Brauerei Winkler,+49  9505  224,www.brauerei-winkler.onlinehome.de,Nil,Litzendorf,,,"Otterbachstrasse 13, Melkendorf"
Brauerei Woerlitz GmbH,+49  34905  20374,Nil,Nil,Woerlitz,,,Erdmannsdorffstrasse 212
Brauerei Wolf Inh. Karl Heinrich Wolf,+49  9383  440,Nil,Nil,Ruedenhausen,,,Paul-Gerhardt-Platz 7
Brauerei Xaver Lang oHG,+49  8734  9224-0,Nil,Nil,Reisbach,,,Marktplatz 27
Brauerei Xaver Wasserburger,+49  8731  50008,Nil,Nil,Dingolfing,,,Braeuhausgasse 10
Brauerei Zipf,07682-6431,Nil,Large,Zipf 22,,,Osterreichische Brau AG
Brauerei Zoller-Hof Graf-Fleischhut GmbH & Co. KG,(497) 571-7210,Nil,Nil,Sigmaringen,,,Leopoldstrasse 40
Brauerei Zum Adler Hans Amtmann,+49  9552  359,Nil,Nil,Schluesselfeld,,,Marktplatz 6
Brauerei zum Kuchlbauer GmbH,+49  9443  9101-0,Nil,Nil,Abensberg,,,Roemerstrasse 5
Brauerei zum Rossknecht GmbH,+49  7141  902551,Nil,Nil,Ludwigsburg,,,Am Reithausplatz 21
Brauerei Zum Schwanan,+49  711  319780,Nil,Nil,Esslingen,,,Franziskanergasse 3
Brauerei zum Schwert,(497) 391-1288,Nil,Nil,Ehingen,,,Viehmarkt 9
Brauerei Zur Goldenen Gans,(498) 213-5075,www.goldene-gans.de,Nil,Augsburg,,,Ostrachstr. 4
Brauerei zur Malzmuehle Schwartz KG,+49  221  210118,Nil,Nil,Koeln,,,Heumarkt 6
Brauerei Zur Sonne Inh. Dieter + Christian Schuhma,(499) 516-2571,Nil,Nil,Bischberg,,,Regnitzstrasse 2
Brauerei Zwanzger,(499) 163-7849,bierstrasse.de/9.htm,Nil,Uehlfeld,,,Burghaslacher Strasse 10
Brauerei Zwettl Karl Schwarz Ges mbH,(432) 822-5000,www.zwettler.co.at,Nil,Zwettl Niederoesterreich,,,Syrnauer Strasse 22-25
Brauerei-Gasthof Berghammer,+49  9405  962176,www.bad-abbach.de/Lokale/berghamm.htm,Nil,Bad Abbach,,,Donaustrasse 55
Brauerei-Gasthof Goldener Engel,(498) 223-1274,www.engelbrauerei.de,Nil,Waldstetten,,,Raiffeisenstrasse 4
Brauerei-Gasthof Prechtel,+49  9163  228,bierstrasse.de/5.htm,Nil,Uehlfeld,,,Hauptstrasse 24
Brauerei-Gasthof Sonne,(499) 194-9093,Nil,Nil,Ebermannstadt,,,Hauptstrasse 29
Brauerei-Gasthof Zur Sonne,+49  9533  981017,Nil,Nil,Rattelsdorf,,,"Zaugendorfer Strasse 4, Muersbach"
Brauerei-Gaststaette Schloessle Zoller & Maylaende,(497) 317-7390,Nil,Nil,Neu-Ulm,,,Schloessleweg 3
Brauerei-Gut Josef Weinzierl,+49  8708  260,Nil,Nil,Weihmichl,,,"Hauptstrasse 2, Ortsteil Unterneuhausen"
"Brauerei-Schwarzach,",06415 236,Nil,Regional,Schwarzach,,,Brauhausgasse 28
Brauereidir. I.R.,088067203,Nil,Nil,,,,Laibnerstr. 7
Brauereigasthof Adolf Schnupp,(499) 203-9920,Nil,Nil,Neudrossenfeld,,,Altdrossenfeld 8
Brauereigasthof Eck,+49  9923  8405-0,www.brauerei-eck.de,Nil,Boebrach,,,Eck 1
Brauereigenossenschaft Holzkirchen eG,(498) 024-6073,Nil,Nil,Holzkirchen,,,Industriestrasse 5
Brauereigesellschaft vorm. Meyer and Soehne AG,+49  7642  67-0,Nil,Nil,Riegel Am Kaiserstuhl,,,Hauptstrasse 1-3
Brauerel Georg Arnold,Nil,Nil,Nil,Lauf,,,Hersbrucker Str 50
Brauergilde Hannover AG,(495) 119-8080,Nil,Nil,Hannover,,,"Hildesheimer Strasse 132, Eingang Alte D"
Brauerigasthof Prosselbrau,94041822,Nil,Regional,Adlersberg,,,Dominikanerinnenstr 1-3
Brauhaus 1. Wuerzburger Hausbrauerei,(499) 314-3159,Nil,Nil,Wuerzburg,,,Burkarderstrasse 2-4
Brauhaus Aidenbach Woerlein KG,(498) 543-1340,Nil,Nil,Aidenbach,,,Marktplatz 49
Brauhaus Altenkunstadt Andreas Leikeim KG,+49  9572  7505-0,www.leikeim.de,Nil,Altenkunstadt,,,Langheimer Strasse 14
Brauhaus Am Damm,Nil,Nil,Nil,,,,
Brauhaus Am Lohberg Gasthausbrauerei Wismar GmbH,+49  3841  250238,www.brauhaus-wismar.de,Nil,Wismar,,,Kleine Hohe Strasse 15
Brauhaus am Waldschloesschen,+49  351  81199-0,www.waldschloesschen.de,Nil,Dresden,,,Am Brauhaus 8b
Brauhaus Amneville,Nil,Nil,Regional,Amnevill,,,Centre Thermal Et Touristique
Brauhaus Barfuesser Heilbronn,+49  7131  963441,Nil,Nil,Heilbronn,,,Allee 35
Brauhaus Barfuesser Nuernberg,+49  911  204242,Nil,Nil,Nuernberg,,,Hallplatz 2
Brauhaus Bevog GmbH,Nil,www.bevog.com,Micro,Bad Radkersburg,,,Gewerbepark B9
Brauhaus Castel,+49  6134  24999,Nil,Nil,Mainz-Kastel,,,Otto-Suhr-Ring 27
Brauhaus Doebler,(499) 841-2002,www.brauhaus-doebler.de,Nil,Bad Windsheim,,,Kornmarkt 6
Brauhaus Eurostr and Fintel GmbH,+49  4265  9311-0,Nil,Nil,Fintel,,,Bruchweg 11
Brauhaus Faust OHG vormals Loewenbrauerei Miltenbe,+49  9371  971310,www.faust.de,Micro,Miltenberg,,,Hauptstrasse 219
Brauhaus Frings,Nil,Nil,Nil,Whangarei,,,104 Lower Dent St
"Brauhaus Georg-Braeu, Gasthausbrauerei im Nikolaiv",+49  30  2424244,Nil,Nil,Berlin,,,Spreeufer 4
Brauhaus Goslar,05321685804,www.harzart.de/wolpertinger/index.htm,Nil,Goslar,,,Inh. Odin Paul Ek
Brauhaus Graf Beust,+49  201  225719,Nil,Nil,Essen,,,Kastanienallee 95
Brauhaus Hanseat,(494) 032-2552,Nil,Nil,Hamburg,,,Zippelhaus 4
Brauhaus Herrieden Inh. Leonhard Wehr,+49  9825  232,Nil,Nil,Herrieden,,,Vogteiplatz 8-10
Brauhaus Hoechstadt/Aisch e.G.,(499) 193-8367,Nil,Nil,Hoechstadt,,,Kellerstrasse 7
Brauhaus in Rixdorf,+49  30  6268880,Nil,Nil,Berlin,,,Glasower Strasse 27
Brauhaus Joh. Albrecht Bielefeld,(495) 216-2351,www.net-owl.de/brauhaus,Nil,Bielefeld,,,Hagenbruchstrasse 9
Brauhaus Joh. Albrecht Duesseldorf,+49  211  570129,Nil,Nil,Duesseldorf,,,Niederkasseler Strasse 104
Brauhaus Joh. Albrecht Hamburg,(494) 036-7740,Nil,Nil,Hamburg,,,Adolphsbruecke 7
"Brauhaus Joh. Albrecht Konstanz, Gasthausbrauerei",+49  7531  25045,Nil,Nil,Konstanz,,,Konradigasse 2
Brauhaus Joh. Albrecht Regensburg,(499) 415-1055,Nil,Nil,Regensburg,,,Schwarze-Baeren-Strasse 6
Brauhaus Kronenbraeu Altenmuenster GmbH,(498) 342-1081,Nil,Nil,Altenmuenster,,,Hauptstrasse 33
Brauhaus Mariazell Hannes Girrer,+43 (3882) 25230,www.mariazell.org./brauhaus,Nil,Mariazell,,,Wiener Strasse 5
Brauhaus Moessingen H. Fischer,(497) 473-6023,www.fischers-frisches.de,Nil,Moessingen,,,Auf der Lehr 30
Brauhaus Möntha,Nil,Nil,Nil,Remigen,,,Zehntenhaus
Sambrook's Brewery Ltd,+44 20 7228 0598,Nil,Nil,London,,,Unit 1 & 2 Yelverton Road
Sampler Brew House,55 (249) 228-1010,www.sampler.com.br,Brewpub,PETRÓPOLIS,Rio de Janeiro,RJ,"AVENIDA SETE DE ABRIL, 557"
Samuel Adams Boston Taproom,(617) 466-6418,Nil,Taproom,Boston,Massachusetts,MA,60 State Street
Samuel Adams Pennsylvania Brewing Co,(610) 395-6811,Nil,Regional,Breinigsville,Pennsylvania,PA,7880 Penn Dr
William Bull Brewery,+61 2 6966 0100,Nil,Nil,Bibul,New South Wales,NSW,De Bortoli Road
Daredevil Brewing Company,Nil,www.daredevilbeer.com,Micro,Indianapolis,Indiana,IN,1151 N Main St
Darguner Brauerei GmbH,+49  39959  301-0,Nil,Nil,Dargun,,,Brauereistrasse 3
Nelson Brewery,01634 832828 ,Nil,Nil,Chatham Kent,,,Unit 2 Building 64
Nelson Brewing Co,(250) 352-3582,www.nelsonbrewing.com,Micro,Nelson,British Columbia,BC,512 Latimer St
Neon Groundhog Brewery - Majestic Oak Winery,(419) 875-6474,www.majesticoakwinery.com,Taproom,Grand Rapids,Ohio,OH,13554 Mohler Rd
Nepenthe Brewing Co.,(443) 742-6027,www.nepenthebrewingco.com,Micro,Baltimore,Maryland,MD,3626 Falls Rd
Neptunes Brewery,(406) 222-7837,www.neptunesbrewery.com,Micro,Livingston,Montana,MT,119 N L St
Nesbitt Breweries (Pvt) Ltd,263 31 2891,Nil,Regional,Chiredzi,,,P O Box 169
Neshaminy Creek Brewing Co,215-458-7081 Ext. 107,www.neshaminycreekbrewing.com,Taproom,Croydon,Pennsylvania,PA,909 Ray Ave
Nethergate Brewery Co Ltd,Nil,Nil,Nil,Essex,,,The Street
Neufang Brauerei AG,+49  681  93635-0,Nil,Nil,Saarbruecken,,,Dudweiler Landstrasse 3-9
Neumarkter Lammsbraeu Gebr. Ehrnsperger,(499) 181-4040,www.lammsbraeu.de,Regional,Neumarkt,,,Amberger Strasse 1
Neunkircher Brauhaus,+49  6821  179145,www.wasserturm.de/brauhaus,Nil,Neunkirchen,,,Saarbruecker Strasse 16
Neuse River Brewing Company,(984) 232-8479,www.neuseriverbrewing.com,Brewpub,Raleigh,North Carolina,NC,518 Pershing Rd
Neustadt Springs Brewery,(519) 799-5790,www.neustadtsprings.com,Micro,Neustadt,Ontario,ON,456 Jacob St
Neutral Ground Brewing Company,(817) 368-8072,www.ngbc.beer,Brewpub,Fort Worth,Texas,TX,2929 Race St
Nevada Brew Works,702-664-1500,www.nevadabrewworks.com,Brewpub,Las Vegas,Nevada,NV,1327 S Main St Ste 160
Nevadan Brewing Company,(702) 845-5768,NevadanBrewing.com,Contract,Henderson,Nevada,NV,1222 Wigwam Pkwy
Never Summer Brewing Co,(970) 887-0333,Nil,Taproom,Granby,Colorado,CO,62  E. AGATE AVENUE
Never Winter Brewing Company,(813) 810-7474,www.neverwinterbrewing.com,Brewery In Planning,Riverview,Florida,FL,10713 Banfield Dr.
Brickway Brewery & Distillery,(402) 933-2613,www.drinkbrickway.com,Micro,Omaha,Nebraska,NE,1116 Jackson St
Brickyard Brewing Company,(716) 754-7227,www.brickyardbrewingcompany.com,Brewpub,Lewiston,New York,NY,436 Center St
Brickyard Hollow Brewing Co,(207) 847-0411,www.brickyardhollow.com,Brewpub,Yarmouth,Maine,ME,236 Main St
Bridge 99 Brewery,(541) 280-1690,Nil,Micro,Bend,Oregon,OR,63063 Layton Ave
Bridge And Tunnel Brewery,(347) 392-8593,www.bridgeandtunnelbrewery.com,Taproom,Ridgewood,New York,NY,1535 Decatur St
Bridge Brew Works,(304) 282-2201,www.bridgebrewworks.com,Micro,Fayetteville,West Virginia,WV,335 Nick Rahall Greenway
Bridge Brewing Company,(604) 770-2739,www.bridgebrewing.com,Micro,North Vancouver,British Columbia,BC,1448 Charlotte Road
Bridge Road Brewers, 61 3 5728 2703,Nil,Nil,Beechworth,Victoria,VIC,50 Ford St
Bridge Road Brewers,Nil,Nil,Nil,Beechworth,,,Old Coach House Brewers Lane
Bridge Up Brewing Company,Nil,www.bridgeupbrewing.com,Brewpub,Sturgeon Bay,Wisconsin,WI,129 North Madison Ave
Bridge's End Brewing Co,(614) 537-1056,https://bridgesend.beer/,Brewery In Planning,Shawnee Hills,Ohio,OH,9320 Dublin Road
Bridgehouse Brewery Ltd.,01535 642893,Nil,Micro,Keighley,,,Aireworth Rd
Bridger Brewing,2182561132,www.bridgerbrewing.com,Micro,Three Forks,Montana,MT,73 Vigilante way
